trigger_time,fill_time,exit_time,hour,entry,stop,tp,atr,contracts,mae,duration_mins,outcome,pnl,balance,drawdown
2025-12-05 00:21:00+00:00,2025-12-05 00:24:00+00:00,2025-12-05 01:48:00+00:00,0,6867.75,6862.25,6875.5,5.43,10,1.0,84.0,WIN,385.0,2385.0,0.0
2025-12-05 01:36:00+00:00,2025-12-05 01:40:00+00:00,2025-12-05 02:28:00+00:00,1,6874.5,6871.0,6879.5,3.3,17,0.5,48.0,WIN,416.5,2801.5,0.0
2025-12-05 02:11:00+00:00,2025-12-05 02:18:00+00:00,2025-12-05 04:47:00+00:00,2,6877.5,6874.0,6882.5,3.29,17,3.0,149.0,TIMEOUT,0.0,2801.5,0.0
2025-12-05 11:51:00+00:00,2025-12-05 12:04:00+00:00,2025-12-05 12:21:00+00:00,11,6881.75,6878.5,6886.5,3.07,18,25.0,17.0,LOSS,-292.5,2509.0,292.5
2025-12-08 00:21:00+00:00,2025-12-08 00:23:00+00:00,2025-12-08 02:18:00+00:00,0,6878.0,6873.0,6885.0,5.0,12,1.0,115.0,WIN,420.0,2929.0,0.0
2025-12-08 10:32:00+00:00,2025-12-08 12:47:00+00:00,2025-12-08 13:32:00+00:00,10,6888.5,6885.0,6893.5,3.39,17,22.5,45.0,LOSS,-297.5,2631.5,297.5
2025-12-08 18:48:00+00:00,2025-12-08 20:59:00+00:00,2025-12-08 23:03:00+00:00,18,6852.75,6842.75,6866.75,9.89,6,-0.25,124.0,WIN,420.0,3051.5,0.0
2025-12-09 10:13:00+00:00,2025-12-09 10:17:00+00:00,2025-12-09 10:39:00+00:00,10,6861.0,6857.75,6865.75,3.25,18,16.25,22.0,LOSS,-292.5,2759.0,292.5
2025-12-09 21:43:00+00:00,2025-12-09 23:00:00+00:00,2025-12-10 00:59:00+00:00,21,6848.75,6843.5,6856.25,5.18,11,6.5,119.0,LOSS,-288.75,2470.25,581.25
2025-12-10 05:28:00+00:00,2025-12-10 06:05:00+00:00,2025-12-10 06:11:00+00:00,5,6849.25,6847.0,6852.5,2.25,26,-0.5,6.0,WIN,409.5,2879.75,171.75
2025-12-10 06:33:00+00:00,2025-12-10 07:31:00+00:00,2025-12-10 08:07:00+00:00,6,6854.0,6851.5,6857.5,2.3,24,3.75,36.0,WIN,420.0,3299.75,0.0
2025-12-10 12:58:00+00:00,2025-12-10 13:18:00+00:00,2025-12-10 13:25:00+00:00,12,6846.25,6840.25,6854.75,5.79,10,15.5,7.0,WIN,420.0,3719.75,0.0
2025-12-10 16:13:00+00:00,2025-12-10 16:18:00+00:00,2025-12-10 18:47:00+00:00,16,6852.25,6843.0,6865.25,9.04,6,8.75,149.0,TIMEOUT,0.0,3719.75,0.0
2025-12-10 19:03:00+00:00,2025-12-10 19:05:00+00:00,2025-12-10 19:10:00+00:00,19,6860.75,6850.5,6875.25,10.12,5,10.75,5.0,WIN,358.75,4078.5,0.0
