oco_config,direction,r_multiple,stop_type,stop_atr_pct,total_trades,wins,losses,win_rate,total_pnl,final_balance,expected_value
LONG_1.0R_ATR_50atr,LONG,1.0,ATR,0.5,50,19,31,0.38,-900.0,1100.0,-18.0
LONG_1.4R_ATR_50atr,LONG,1.4,ATR,0.5,50,17,33,0.34,-690.0,1310.0,-13.8
LONG_2.0R_WICK_50atr,LONG,2.0,WICK,0.5,50,11,39,0.22,-1275.0,725.0,-25.5
LONG_1.4R_WICK_25atr,LONG,1.4,WICK,0.25,50,16,34,0.32,-870.0,1130.0,-17.4
SHORT_1.0R_ATR_50atr,SHORT,1.0,ATR,0.5,50,29,21,0.58,600.0,2600.0,12.0
SHORT_1.4R_ATR_50atr,SHORT,1.4,ATR,0.5,50,25,25,0.5,750.0,2750.0,15.0
SHORT_2.0R_WICK_50atr,SHORT,2.0,WICK,0.5,50,17,33,0.34,75.0,2075.0,1.5
SHORT_1.4R_WICK_25atr,SHORT,1.4,WICK,0.25,50,19,31,0.38,-330.0,1670.0,-6.6
LONG_1.8R_ATR_75atr,LONG,1.8,ATR,0.75,50,15,35,0.3,-600.0,1400.0,-12.0
SHORT_1.8R_ATR_75atr,SHORT,1.8,ATR,0.75,50,19,31,0.38,240.0,2240.0,4.8
