trigger_time,trigger_price,cnn_prob,atr,limit,fill_time,entry,stop,tp,contracts,risk_$,outcome,exit,pnl_$,mae,balance
2025-12-05 00:21:00+00:00,6865.0,0.1687,0.79,6865.5,2025-12-05 00:22:00+00:00,6865.5,6864.5,6867.0,60,300.0,WIN,6867.0,420.0,-0.25,2420.0
2025-12-05 01:36:00+00:00,6872.75,0.1949,0.66,6873.25,2025-12-05 01:37:00+00:00,6873.25,6872.5,6874.5,80,300.0,WIN,6874.5,420.0,0.25,2840.0
2025-12-05 02:11:00+00:00,6875.75,0.2002,0.59,6876.25,2025-12-05 02:12:00+00:00,6876.25,6875.5,6877.5,80,300.0,WIN,6877.5,420.0,1.75,3260.0
2025-12-05 11:51:00+00:00,6880.0,0.1741,0.5,6880.25,2025-12-05 11:52:00+00:00,6880.25,6879.75,6881.0,120,300.0,LOSS,6879.75,-300.0,23.5,2960.0
2025-12-08 00:21:00+00:00,6875.5,0.1608,1.21,6876.25,2025-12-08 00:23:00+00:00,6876.25,6875.0,6878.0,48,300.0,WIN,6878.0,420.0,-0.75,3380.0
2025-12-08 10:32:00+00:00,6886.75,0.1675,0.89,6887.25,2025-12-08 10:33:00+00:00,6887.25,6886.25,6888.75,60,300.0,LOSS,6886.25,-300.0,6.5,3080.0
2025-12-08 18:48:00+00:00,6847.75,0.2345,2.27,6849.0,2025-12-08 20:59:00+00:00,6849.0,6846.5,6852.5,24,300.0,WIN,6852.5,420.0,-4.0,3500.0
2025-12-09 03:08:00+00:00,6862.0,0.1649,0.66,6862.5,2025-12-09 03:15:00+00:00,6862.5,6861.75,6863.75,80,300.0,LOSS,6861.75,-300.0,4.75,3200.0
2025-12-09 10:13:00+00:00,6859.25,0.1539,0.86,6859.75,2025-12-09 10:14:00+00:00,6859.75,6858.75,6861.25,60,300.0,WIN,6861.25,420.0,15.0,3620.0
2025-12-09 10:58:00+00:00,6860.25,0.1804,1.7,6861.25,2025-12-09 10:59:00+00:00,6861.25,6859.5,6863.75,34,297.5,LOSS,6859.5,-297.5,8.5,3322.5
2025-12-09 21:43:00+00:00,6846.0,0.1986,0.7,6846.5,2025-12-09 21:47:00+00:00,6846.5,6845.75,6847.75,80,300.0,LOSS,6845.75,-300.0,4.25,3022.5
2025-12-10 05:28:00+00:00,6848.0,0.1665,0.52,6848.5,2025-12-10 05:34:00+00:00,6848.5,6847.75,6849.75,80,300.0,LOSS,6847.75,-300.0,1.25,2722.5
2025-12-10 06:33:00+00:00,6852.75,0.3306,0.55,6853.25,2025-12-10 07:22:00+00:00,6853.25,6852.5,6854.5,80,300.0,LOSS,6852.5,-300.0,3.0,2422.5
2025-12-10 12:58:00+00:00,6843.25,0.3806,0.8,6843.75,2025-12-10 13:01:00+00:00,6843.75,6842.75,6845.25,60,300.0,LOSS,6842.75,-300.0,13.0,2122.5
2025-12-10 16:13:00+00:00,6847.5,0.1939,3.02,6849.25,2025-12-10 16:15:00+00:00,6849.25,6846.0,6854.0,18,292.5,WIN,6854.0,409.5,4.75,2532.0
2025-12-10 19:03:00+00:00,6855.5,0.3688,4.93,6858.0,2025-12-10 19:04:00+00:00,6858.0,6853.0,6865.0,12,300.0,WIN,6865.0,420.0,8.0,2952.0
