oco_config,direction,r_mult,trades,wins,win_rate,total_pnl,ev_per_trade
LONG_1.0R,LONG,1.0,741,345,0.4656,-3825.0,-5.16
LONG_1.4R,LONG,1.4,741,305,0.4116,-675.0,-0.91
LONG_2.0R,LONG,2.0,741,255,0.3441,1800.0,2.43
LONG_1.8R,LONG,1.8,741,266,0.359,285.0,0.38
LONG_2.5R,LONG,2.5,741,221,0.2982,2437.5,3.29
SHORT_1.0R,SHORT,1.0,373,164,0.4397,-3375.0,-9.05
SHORT_1.4R,SHORT,1.4,373,144,0.3861,-2055.0,-5.51
SHORT_2.0R,SHORT,2.0,373,123,0.3298,-300.0,-0.8
SHORT_1.8R,SHORT,1.8,373,130,0.3485,-675.0,-1.81
SHORT_2.5R,SHORT,2.5,373,108,0.2895,375.0,1.01
