time,entry,stop,tp,atr,contracts,outcome,pnl,balance
2025-12-05 00:21:00+00:00,6867.75,6862.25,6875.5,5.43,10,WIN,385.0,2385.0
2025-12-05 01:36:00+00:00,6874.5,6871.0,6879.5,3.3,17,WIN,416.5,2801.5
2025-12-05 02:11:00+00:00,6877.5,6874.0,6882.5,3.29,17,TIMEOUT,0.0,2801.5
2025-12-05 11:51:00+00:00,6881.75,6878.5,6886.5,3.07,18,LOSS,-292.5,2509.0
2025-12-08 00:21:00+00:00,6878.0,6873.0,6885.0,5.0,12,WIN,420.0,2929.0
2025-12-08 10:32:00+00:00,6888.5,6885.0,6893.5,3.39,17,LOSS,-297.5,2631.5
2025-12-08 18:48:00+00:00,6852.75,6842.75,6866.75,9.89,6,WIN,420.0,3051.5
2025-12-09 10:13:00+00:00,6861.0,6857.75,6865.75,3.25,18,LOSS,-292.5,2759.0
2025-12-09 21:43:00+00:00,6848.75,6843.5,6856.25,5.18,11,LOSS,-288.75,2470.25
2025-12-10 05:28:00+00:00,6849.25,6847.0,6852.5,2.25,26,WIN,409.5,2879.75
2025-12-10 06:33:00+00:00,6854.0,6851.5,6857.5,2.3,24,WIN,420.0,3299.75
2025-12-10 12:58:00+00:00,6846.25,6840.25,6854.75,5.79,10,WIN,420.0,3719.75
2025-12-10 16:13:00+00:00,6852.25,6843.0,6865.25,9.04,6,TIMEOUT,0.0,3719.75
2025-12-10 19:03:00+00:00,6860.75,6850.5,6875.25,10.12,5,WIN,358.75,4078.5
